Item,Item Hierarchy Type,Year,Quantity
"Almonds, in shell",Fruits and nuts,2020,4140043.0
Apples,Fruits and nuts,2020,86442716.0
Apricots,Fruits and nuts,2020,3719974.0
Artichokes,Vegetables,2020,1516955.0
Asparagus,Vegetables,2020,8451689.0
Avocados,Fruits and nuts,2020,8059359.0
Bananas,Fruits and nuts,2020,118909739.0
Barley,Cereals,2020,157030764.0
"Brazil nuts, in shell",Fruits and nuts,2020,69658.0
"Broad beans and horse beans, green",Vegetables,2020,1597477.0
Buckwheat,Cereals,2020,1810816.0
Cabbages,Vegetables,2020,70859223.0
Canary seed,Cereals,2020,257602.0
Cantaloupes and other melons,Vegetables,2020,28427507.0
Carrots and turnips,Vegetables,2020,40884493.0
"Cashew nuts, in shell",Fruits and nuts,2020,4180990.0
Cauliflowers and broccoli,Vegetables,2020,25530499.0
Cherries,Fruits and nuts,2020,2609550.0
"Chestnuts, in shell",Fruits and nuts,2020,2321780.0
Cucumbers and gherkins,Vegetables,2020,90951169.0
Dates,Fruits and nuts,2020,8988890.0
"Edible offal of buffalo, fresh, chilled or frozen",Meat and meat products,2020,719529.0
"Edible offal of cattle, fresh, chilled or frozen",Meat and meat products,2020,8448653.0
"Edible offal of goat, fresh, chilled or frozen",Meat and meat products,2020,1196718.0
"Edible offal of pigs, fresh, chilled or frozen",Meat and meat products,2020,5424519.0
"Edible offal of sheep, fresh, chilled or frozen",Meat and meat products,2020,1641646.0
Eggplants (aubergines),Vegetables,2020,56521956.0
"Eggs from other birds in shell, fresh, n.e.c.",Dairy and egg,2020,6297431.0
Figs,Fruits and nuts,2020,1264943.0
Fonio,Cereals,2020,740033.0
Grapes,Fruits and nuts,2020,78034332.0
Green garlic,Vegetables,2020,28010400.0
"Hazelnuts, in shell",Fruits and nuts,2020,1072308.0
"Hen eggs in shell, fresh",Dairy and egg,2020,85680783.0
Kiwi fruit,Fruits and nuts,2020,4407407.0
Leeks and other alliaceous vegetables,Vegetables,2020,2119948.0
Lemons and limes,Fruits and nuts,2020,21012841.0
Lettuce and chicory,Vegetables,2020,27660187.0
Locust beans (carobs),Fruits and nuts,2020,49693.0
Maize (corn),Cereals,2020,1162339410.0
"Mangoes, guavas and mangosteens",Fruits and nuts,2020,54161437.0
"Meat of asses, fresh or chilled",Meat and meat products,2020,119699.0
"Meat of camels, fresh or chilled",Meat and meat products,2020,460277.0
"Meat of cattle with the bone, fresh or chilled",Meat and meat products,2020,67493730.0
"Meat of mules, fresh or chilled",Meat and meat products,2020,12087.0
"Meat of other domestic camelids, fresh or chilled",Meat and meat products,2020,32877.0
"Meat of other domestic rodents, fresh or chilled",Meat and meat products,2020,18616.0
"Meat of pig with the bone, fresh or chilled",Meat and meat products,2020,109835405.0
"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",Meat and meat products,2020,20105.0
Millet,Cereals,2020,29978682.0
Mushrooms and truffles,Vegetables,2020,42792893.0
Oats,Cereals,2020,25181805.0
Oranges,Fruits and nuts,2020,75285576.0
"Other citrus fruit, n.e.c.",Fruits and nuts,2020,13735357.0
"Other fruits, n.e.c.",Fruits and nuts,2020,37817038.0
Papayas,Fruits and nuts,2020,13894705.0
Peaches and nectarines,Fruits and nuts,2020,24569744.0
"Peas, green",Vegetables,2020,19866601.0
Pineapples,Fruits and nuts,2020,27812576.0
"Pistachios, in shell",Fruits and nuts,2020,1125305.0
Plantains and cooking bananas,Fruits and nuts,2020,43116591.0
Plums and sloes,Fruits and nuts,2020,12225073.0
Pomelos and grapefruits,Fruits and nuts,2020,9075130.0
"Pumpkins, squash and gourds",Vegetables,2020,27929346.0
Quinoa,Cereals,2020,175188.0
Raw milk of buffalo,Dairy and egg,2020,134425197.0
Raw milk of camel,Dairy and egg,2020,3086981.0
Raw milk of cattle,Dairy and egg,2020,715027265.0
Raw milk of goats,Dairy and egg,2020,19452460.0
Raw milk of sheep,Dairy and egg,2020,10200015.0
Rice,Cereals,2020,756709589.0
Rye,Cereals,2020,15022273.0
Sorghum,Cereals,2020,56167958.0
Spinach,Vegetables,2020,30995069.0
Strawberries,Fruits and nuts,2020,8861381.0
"Tangerines, mandarins, clementines",Fruits and nuts,2020,38600907.0
Tomatoes,Vegetables,2020,186129161.0
Triticale,Cereals,2020,15361341.0
"Walnuts, in shell",Fruits and nuts,2020,3323964.0
Watermelons,Vegetables,2020,101549923.0
Wheat,Cereals,2020,760175010.0
Cereals,All,2020,2980950471.0
Dairy and egg,All,2020,974170132.0
Fruits and nuts,All,2020,708889007.0
Meat and meat products,All,2020,195423861.0
Vegetables,All,2020,791794496.0
All,,2020,5651227967.0
